lp;ID;Hw;mb;Year;feeder;age;cond;rhw;test;PC1;PC2
1;3283;24.1;120;2020;1;6;9.7049;-0.581060108;A;0.48863905;0.49646614
2;3283;25.4;147;2020;1;6;11.346;0.718939892;B;2.5422429;-0.57848926
3;3324;24.2;121;2020;1;7;8.7542;-0.491162519;A;0.01859713;-0.05216492
4;10526;24.7;100;2020;0;7;-21.999;0.008837481;A;0.88902848;-1.29850155
5;10546;25.2;124;2020;1;7;-7.7529;0.508837481;A;0.43988153;-0.09600019
6;11507;24.4;120;2020;0;4;3.8527;0.079939916;A;4.03137533;-1.82451615
7;11514;23.7;100;2020;0;4;-2.4923;-0.620060084;A;-0.4611885;0.17031402
8;11514;23.8;104;2020;0;4;-0.44302;-0.520060084;B;0.02388627;0.62412828
9;11588;23.8;112;2020;1;4;7.557;-0.520060084;A;2.14210928;1.00824749
10;11604;24.5;116;2020;0;5;-2.098;-0.057359297;A;0.34005332;0.61963329
11;11683;24.4;116;2020;0;4;-0.14726;0.079939916;A;0.50235403;-0.69992368
12;1315719;23.8;102;2020;0;4;-2.443;-0.520060084;A;-1.89926116;-1.14854877
13;1315719;24.1;106;2020;0;4;-4.2951;-0.220060084;B;-1.23948694;0.10295333
14;1316126;23.9;108;2020;1;3;1.6063;-0.069162471;A;4.76445489;0.55261435
15;1316126;24.5;116;2020;1;3;-2.098;0.530837529;B;3.03853771;-0.25444961
16;1316611;24.1;102;2020;0;4;-8.2951;-0.220060084;A;0.18547113;-2.28083261
17;1316714;24.2;132;2020;1;4;19.754;-0.120060084;A;0.23243596;-2.19140749
18;1316778;23.9;115;2020;0;4;8.6063;-0.420060084;A;-1.2934234;1.56186282
19;1512886;22.7;75;2020;0;2;-7.9852;-0.804666456;A;2.00376942;1.01259396
20;1512889;23;91;2020;0;2;2.1626;-0.504666456;A;-1.06892396;-1.11785581
21;1512897;23.1;90;2020;1;2;-0.78806;-0.404666456;A;-0.39835224;-0.64582088
22;1512897;23.5;90;2020;1;2;-8.5909;-0.004666456;B;1.52559074;0.41610469
23;1512903;23.2;82;2020;1;2;-10.739;-0.304666456;A;-0.7033538;2.95784174
24;1568277;23.7;92;2020;0;2;-10.492;0.195333544;A;-0.91932651;1.14568964
25;1568280;23.4;99;2020;1;2;2.3598;-0.104666456;A;-1.41059452;1.04458514
26;1568282;23;91;2020;1;2;2.1626;-0.504666456;A;-1.55287149;-0.11171668
27;1568282;23.8;103;2020;1;2;-1.443;0.295333544;B;-0.63833017;-0.46646461
28;1568284;23.6;93;2020;0;3;-7.5416;-0.369162471;A;-0.40980655;-0.70027842
29;1568287;24.3;124;2020;1;5;9.8034;-0.257359297;A;-0.64088068;-0.62929069
30;1568288;23.6;105;2020;0;2;4.4584;0.095333544;A;0.31160458;-0.05821236
31;1568291;24.4;120;2020;0;2;3.8527;0.895333544;A;1.75564867;-1.02214195
32;1568294;23.5;100;2020;0;3;1.4091;-0.469162471;A;0.38178241;-0.43971532
33;1568294;23.6;93;2020;0;3;-7.5416;-0.369162471;B;0.60225765;-0.89449701
34;1568295;23.4;117;2020;0;2;20.36;-0.104666456;A;-0.70344318;-0.12692204
35;1568320;22.1;73;2020;1;2;1.719;-1.404666456;A;-0.92826432;0.48441528
36;1568320;23.1;100;2020;1;2;9.2119;-0.404666456;B;0.73237173;-0.12359231
37;1568439;22.6;82;2020;1;2;0.96548;-0.904666456;A;-1.67080729;-0.73296396
38;1568441;23.2;99;2020;1;2;6.2612;-0.304666456;A;-3.56574351;2.79236306
39;1568441;24;98;2020;1;2;-10.344;0.495333544;B;-1.85109179;1.38682675
40;1568444;23;94;2020;0;2;5.1626;-0.504666456;A;-1.81841407;0.54656673
41;1568444;23.6;94;2020;0;2;-6.5416;0.095333544;B;-1.30387716;-0.29913104
42;1568452;25.2;116;2020;0;4;-15.753;0.879939916;A;-0.3908427;-1.55767457
43;1568454;24.5;133;2020;1;4;14.902;0.179939916;A;-0.40679251;0.6806881
44;1568454;24.8;120;2020;1;4;-3.9501;0.479939916;B;-1.81517315;-1.58189296
45;1568461;24.5;114;2020;1;3;-4.098;0.530837529;A;-1.68934674;2.20887175
46;1568461;25.1;142;2020;1;3;12.198;1.130837529;B;-2.90800447;-1.5753867
47;1568462;22.5;63;2020;1;2;-16.084;-1.004666456;A;-1.56877727;-1.5937735
48;1568462;23.4;86;2020;1;2;-10.64;-0.104666456;B;-1.06239079;-1.64377649
49;1568537;23.3;90;2020;1;2;-4.6895;-0.204666456;A;-0.79244868;-0.55691652
50;1568661;23.7;92;2020;1;2;-10.492;0.195333544;A;3.35800272;0.54137585
