id;age;central;feeder;rhw;rPC1;PC1;blup_PC1;blup_HW
3283;6;1;1;0.06893989;1.88144456;1.515440975;1.167901251;0.032432512
3324;7;0;1;-0.4911625;0.62430947;0.01859713;0.092470878;-0.179564395
10526;7;0;0;0.00883748;0.04004693;0.88902848;-0.251292058;0.000221051
10546;7;0;1;0.50883748;-0.1371192;0.43988153;-0.586816188;0.180006497
11507;4;0;0;0.07993992;4.13529536;4.03137533;3.020892316;0.02912757
11514;4;1;0;-0.5700601;0.0381765;-0.218651115;-0.009653586;-0.300967769
11588;4;1;1;-0.5200601;2.7177576;2.14210928;2.009239001;-0.186614965
11604;5;1;0;-0.0573593;0.29105894;0.34005332;0.000949288;-0.022252978
11683;4;0;0;0.07993992;0.45279101;0.50235403;0.176409038;0.02912757
1315719;4;1;0;-0.3700601;-1.4953683;-1.56937405;-1.383574153;-0.195178246
1316126;3;0;1;0.23083753;3.76525968;3.9014963;3.169281616;0.126946039
1316611;4;0;0;-0.2200601;-0.0119388;0.18547113;-0.07036821;-0.078743697
1316714;4;0;1;-0.1200601;1.05637044;0.23243596;0.550147725;-0.042786608
1316778;4;1;0;-0.4200601;-0.7324439;-1.2934234;-0.708662259;-0.150657876
1512886;2;0;0;-0.8046665;2.13938478;2.00376942;1.901667252;-0.282232547
1512889;2;1;0;-0.5046665;-0.7087209;-1.06892396;-0.448969309;-0.17436128
1512897;2;1;1;-0.2046665;0.4961051;0.56361925;0.537213537;-0.097810291
1512903;2;0;1;-0.3046665;-0.9480633;-0.7033538;-0.586745377;-1.02E-01
1568277;2;0;0;0.19533354;-1.4292167;-0.91932651;-1.063140389;0.077338344
1568280;2;0;1;-0.1046665;-1.2625514;-1.41059452;-0.961813146;-0.030532923
1568282;2;0;1;-0.1046665;-1.0243;-1.09560083;-0.856518099;-0.04491553
1568284;3;1;0;-0.3691625;-0.4963994;-0.40980655;-0.33368009;-0.129446465
1568287;5;0;1;-0.2573593;-0.1233414;-0.64088068;-0.364252537;-0.094167156
1568288;2;0;0;0.09533354;0.43031003;0.31160458;0.304242259;0.041381255
1568291;2;0;0;0.89533354;1.41165931;1.75564867;0.914639717;0.329037968
1568294;3;1;0;-0.4191625;0.60461733;0.49202003;0.566535587;-0.216869911
1568295;2;0;0;-0.1046665;0.13528823;-0.70344318;0.004652247;-0.030532923
1568320;2;1;1;-0.9046665;0.60871759;-0.097946295;0.713924635;-0.468073623
1568439;2;0;1;-0.9046665;-1.1368124;-1.67080729;-0.695051222;-0.318189636
1568441;2;0;1;0.09533354;-2.839117;-2.70841765;-2.473068833;0.060873994
1568444;2;1;0;-0.2046665;-1.475176;-1.561145615;-1.221186331;-0.097810291
1568452;4;0;0;0.87993992;-1.4786692;-0.3908427;-1.381797181;0.316784283
1568454;4;1;1;0.32993992;-1.082106;-1.11098283;-1.246163233;0.175085085
1568461;3;0;1;0.83083753;-2.5996656;-2.298675605;-2.575820298;0.444314609
1568462;2;1;1;-0.5546665;-1.5236118;-1.31558403;-1.087550333;-0.282941957
1568537;2;0;1;-0.2046665;-0.8599636;-0.79244868;-0.579500979;-0.066490012
1568661;2;0;1;0.19533354;2.84811253;3.35800272;2.272734229;0.077338344
1568776;2;0;1;0.19533354;-0.0592392;-0.4702354;-0.179374433;0.113768755
1568801;3;1;0;0.68083753;-2.3061172;-2.06550541;-2.280617257;0.364972467
1568856;5;1;0;-0.2573593;-1.2414513;-1.682252175;-1.373696126;-0.138524819
1568861;4;0;1;0.67993992;-0.2636157;0.21930221;-0.483066531;0.244870105
1568942;2;0;0;-0.0046665;-0.2351713;-0.79062439;-0.263259644;0.005424166
1568946;2;0;0;-0.4046665;3.68466359;3.41587168;2.964060528;-0.138404191
1569083;2;1;1;0.79533354;-0.048242;0.41537559;-0.194144431;0.431137325
1741853;2;1;1;-0.1046665;1.91140703;1.87847696;1.534163515;-0.030532923
1741854;2;0;0;1.39533354;1.11819088;2.45643957;0.803642704;0.748505895
9030242;7;1;0;-0.0911625;-1.3226913;-1.90808412;-1.541261151;-0.035736038
9030518;7;0;0;0.30883748;3.63202876;4.67853593;2.49627606;0.108092318
