id;age;feeder;rhw;rPC1
3283;6;1;0.06893989;1.88144456
3324;7;1;-0.4911625;0.62430947
10526;7;0;0.00883748;0.04004693
10546;7;1;0.50883748;-0.1371192
11507;4;0;0.07993992;4.13529536
11514;4;0;-0.5700601;0.0381765
11588;4;1;-0.5200601;2.7177576
11604;5;0;-0.0573593;0.29105894
11683;4;0;0.07993992;0.45279101
1315719;4;0;-0.3700601;-1.4953683
1316126;3;1;0.23083753;3.76525968
1316611;4;0;-0.2200601;-0.0119388
1316714;4;1;-0.1200601;1.05637044
1316778;4;0;-0.4200601;-0.7324439
1512886;2;0;-0.8046665;2.13938478
1512889;2;0;-0.5046665;-0.7087209
1512897;2;1;-0.2046665;0.4961051
1512903;2;1;-0.3046665;-0.9480633
1568277;2;0;0.19533354;-1.4292167
1568280;2;1;-0.1046665;-1.2625514
1568282;2;1;-0.1046665;-1.0243
1568284;3;0;-0.3691625;-0.4963994
1568287;5;1;-0.2573593;-0.1233414
1568288;2;0;0.09533354;0.43031003
1568291;2;0;0.89533354;1.41165931
1568294;3;0;-0.4191625;0.60461733
1568295;2;0;-0.1046665;0.13528823
1568320;2;1;-0.9046665;0.60871759
1568439;2;1;-0.9046665;-1.1368124
1568441;2;1;0.09533354;-2.839117
1568444;2;0;-0.2046665;-1.475176
1568452;4;0;0.87993992;-1.4786692
1568454;4;1;0.32993992;-1.082106
1568461;3;1;0.83083753;-2.5996656
1568462;2;1;-0.5546665;-1.5236118
1568537;2;1;-0.2046665;-0.8599636
1568661;2;1;0.19533354;2.84811253
1568776;2;1;0.19533354;-0.0592392
1568801;3;0;0.68083753;-2.3061172
1568856;5;0;-0.2573593;-1.2414513
1568861;4;1;0.67993992;-0.2636157
1568942;2;0;-0.0046665;-0.2351713
1568946;2;0;-0.4046665;3.68466359
1569083;2;1;0.79533354;-0.048242
1741853;2;1;-0.1046665;1.91140703
1741854;2;0;1.39533354;1.11819088
9030242;7;0;-0.0911625;-1.3226913
9030518;7;0;0.30883748;3.63202876
